speaker,8,9,10,11,13,14,15,16,19,25,29,31,33,35,36,41,44,46,48,49,51,52,55,56,59,78,90,96,123,125,133,135,151,152,503,504,505,506,507,508,509,512,515,517,518,520,526
bengali_9,1,1,1,11,1,1,8,4,1,5,11,7,9,10,8,10,12,5,5,8,7,1,9,1,5,1,1,1,9,1,1,1,5,1,5,2,1,1,1,1,1,4,1,1,6,1,7
bengali_13,6,1,7,14,4,2,7,4,3,5,11,8,9,10,11,1,11,5,1,8,7,3,9,1,11,1,1,1,9,1,2,3,9,1,7,2,8,10,5,9,1,4,2,1,6,1,7
bengali_16,1,10,7,7,1,3,6,2,3,4,10,7,9,10,11,8,11,1,5,7,7,3,9,8,6,5,2,1,10,10,2,3,7,4,6,2,1,1,7,10,9,4,11,1,7,1,7
gujarati_5,4,11,1,14,6,1,7,4,1,5,8,7,9,10,8,7,8,11,2,8,7,11,9,7,11,1,2,1,9,10,3,2,5,3,8,2,1,1,1,9,2,4,1,1,5,2,7
gujarati_13,1,4,1,15,1,2,8,4,1,5,8,7,9,10,2,1,11,11,5,8,7,1,9,7,5,1,2,1,9,10,2,1,5,1,5,2,1,1,1,6,9,4,1,1,5,2,7
gujarati_14,5,4,1,7,4,1,8,4,3,5,1,6,9,10,9,2,11,3,5,8,7,15,8,8,5,2,8,1,9,8,2,1,5,3,7,2,8,1,1,9,9,4,11,1,6,2,7
urdu_2,6,11,1,14,1,1,7,4,1,5,11,7,9,10,8,6,8,2,5,8,7,14,8,7,4,1,2,1,9,1,5,1,5,3,8,2,1,1,7,3,7,4,1,1,5,2,7
urdu_15,2,4,1,13,4,2,8,4,1,5,8,8,9,10,10,1,13,11,5,8,7,2,9,6,5,1,1,1,9,10,3,2,5,3,7,2,2,1,3,8,7,4,11,1,5,2,7
urdu_27,4,11,1,15,1,1,7,4,3,2,11,7,9,10,9,10,8,5,5,8,7,14,8,6,11,1,2,1,8,1,2,1,6,3,8,2,1,1,1,9,7,4,11,1,2,2,7
indonesian_1,9,11,6,11,4,10,12,1,4,2,9,8,5,9,7,2,10,11,7,9,4,15,8,8,3,6,3,2,8,9,5,10,6,9,15,3,7,10,6,8,7,5,11,1,5,10,6
indonesian_8,9,12,2,7,4,12,11,1,4,4,9,6,5,9,8,2,7,11,7,2,5,15,8,2,3,6,3,2,10,8,5,3,1,9,12,3,7,2,6,5,7,6,6,7,7,5,6
indonesian_10,3,9,7,15,7,3,6,2,3,4,9,8,9,9,2,1,10,3,1,2,1,14,8,1,6,5,8,4,10,8,5,3,7,4,1,2,8,4,1,10,9,5,6,7,6,10,5
tagalog_6,5,12,2,8,3,12,11,3,3,7,9,6,5,4,9,2,7,7,7,2,1,4,8,2,3,6,9,4,8,9,5,7,6,4,6,3,8,1,3,5,1,5,6,7,7,5,8
tagalog_9,5,8,2,8,4,12,11,3,3,4,1,7,5,9,7,10,13,9,7,1,6,2,8,1,11,6,8,4,9,9,5,10,7,9,1,2,1,4,3,5,1,5,5,3,6,5,6
