speaker,7,30,34,53,87,156,164,510,513,514,525,623,627,628,631,633,634,635,636,637,641
bengali_9,5,1,8,8,11,8,1,1,1,3,10,1,4,1,1,1,6,11,1,1,1
bengali_13,5,1,8,8,11,10,4,1,1,3,10,1,4,1,1,1,6,11,2,1,1
bengali_16,5,1,8,8,11,8,1,1,1,3,10,1,4,1,1,1,6,11,1,1,1
gujarati_5,5,1,6,8,11,9,6,1,2,3,9,2,4,1,1,2,6,10,1,1,1
gujarati_13,5,1,8,8,11,9,6,1,2,3,9,2,4,1,1,2,6,10,1,1,1
gujarati_14,5,1,6,8,11,9,6,1,3,3,10,2,4,1,2,2,6,10,1,1,1
urdu_2,5,1,8,8,11,8,6,1,2,3,9,2,4,1,1,2,6,9,2,1,1
urdu_15,5,1,8,8,11,9,6,1,3,3,9,2,4,1,2,1,6,9,2,1,1
urdu_27,5,1,6,8,11,8,1,1,2,3,9,1,4,1,1,2,6,9,1,1,1
indonesian_1,2,2,8,6,5,10,4,2,4,4,3,4,6,2,2,3,4,8,10,2,2
indonesian_8,5,2,7,5,6,10,6,2,4,4,3,4,3,2,7,3,4,8,2,6,2
indonesian_10,5,2,8,7,3,10,4,3,9,3,8,4,3,1,8,3,4,8,4,5,4
tagalog_6,5,2,7,7,6,10,4,4,4,4,3,4,6,3,5,4,5,7,9,6,4
tagalog_9,4,1,6,7,5,10,4,4,3,2,9,2,5,1,7,4,4,7,10,6,4
tagalog_18,5,7,7,7,10,11,5,3,9,5,2,8,5,3,8,4,4,7,10,6,2
thai_2,2,3,9,6,10,6,4,2,8,5,6,8,6,3,7,5,4,6,9,7,2
thai_6,2,2,9,6,10,11,4,2,8,5,6,3,6,2,7,5,4,6,9,7,2
thai_7,6,3,9,6,10,11,5,2,10,5,7,8,6,2,8,5,5,6,9,7,2
japanese_11,2,7,10,3,10,11,5,2,10,4,8,3,6,3,1,7,5,3,3,5,2
japanese_12,2,6,10,3,10,5,4,2,4,5,8,3,6,3,7,6,4,4,3,7,2
japanese_26,6,7,10,3,10,11,5,2,10,5,7,7,6,2,8,7,5,4,9,7,2
korean_2,6,3,10,6,10,6,5,3,9,5,10,7,5,2,8,6,5,5,4,7,2
korean_24,6,6,10,6,10,6,4,2,4,5,8,7,6,3,7,6,4,5,3,7,2
korean_30,2,7,10,4,10,6,5,2,9,5,8,3,6,2,8,5,4,5,10,7,2
mandarin_14,6,6,7,6,10,5,4,2,8,5,6,4,5,2,7,3,4,4,2,7,2
mandarin_53,6,7,7,6,10,5,4,2,10,4,7,7,5,3,8,6,4,3,3,7,2
mandarin_63,2,6,7,6,10,6,4,2,4,4,6,3,6,3,7,7,4,3,3,7,2
english_21,4,4,3,2,8,4,3,5,11,6,4,6,1,5,6,9,2,2,8,8,3
english_89,4,4,4,2,8,4,3,4,7,2,4,5,3,5,5,9,2,2,8,8,3
english_103,4,5,3,2,2,4,3,6,12,6,4,6,7,5,5,9,2,2,8,8,3
english_428,4,4,5,2,2,7,3,5,6,6,4,6,7,6,6,10,2,2,5,8,3
english_212,4,4,5,2,7,7,3,5,7,2,4,5,1,5,5,8,1,2,6,8,3
english_357,4,4,5,2,2,7,3,5,7,6,4,6,1,5,5,10,2,2,5,8,3
english_288,4,4,4,2,7,3,3,5,6,2,4,5,1,5,6,8,2,2,6,8,3
english_171,4,4,4,2,7,3,3,5,7,2,4,5,1,5,5,8,1,2,6,8,3
english_126,4,4,3,2,4,3,3,5,6,6,4,5,1,5,6,10,1,2,6,8,3
english_3,3,5,1,1,9,1,2,6,11,1,5,5,3,4,3,11,2,2,7,9,5
english_73,1,5,2,1,9,2,2,6,5,1,1,6,7,6,4,12,2,2,7,3,5
english_153,1,5,1,1,9,2,3,6,12,1,5,6,7,6,4,11,3,2,7,3,5
english_2,3,5,1,1,9,1,3,6,11,1,5,6,1,4,3,13,3,2,7,9,5
english_38,3,5,1,1,9,1,2,6,5,1,1,6,2,4,4,13,3,2,7,9,5
english_460,3,5,2,1,9,1,2,6,11,2,5,5,2,6,3,11,3,2,7,9,5
africaans_2,3,5,1,1,9,1,3,6,5,1,5,6,2,4,4,12,3,1,7,9,5
africaans _5,3,5,2,1,9,1,2,6,12,2,2,6,2,6,4,13,3,1,7,9,5
africaans _42,1,6,1,1,1,2,2,6,12,1,1,6,7,6,4,12,2,1,7,4,5
