"","no_categories","Participant","Code","group_name"
"1",7,"8",100,"eng_mono"
"2",4,"7",112,"south_asian"
"3",4,"1",101,"non_asian_multi"
"4",8,"9",100,"eng_mono"
"5",4,"10",100,"eng_mono"
"6",9,"11",100,"eng_mono"
"7",3,"12",101,"non_asian_multi"
"8",6,"13",100,"eng_mono"
"9",7,"14",100,"eng_mono"
"10",7,"15",100,"eng_mono"
"11",5,"16",100,"eng_mono"
"12",5,"18",101,"non_asian_multi"
"13",3,"19",100,"eng_mono"
"14",4,"2",101,"non_asian_multi"
"15",5,"23",101,"non_asian_multi"
"16",5,"25",100,"eng_mono"
"17",5,"26",111,"east_asian"
"18",6,"27",111,"east_asian"
"19",7,"29",100,"eng_mono"
"20",5,"30",112,"south_asian"
"21",4,"31",100,"eng_mono"
"22",9,"32",111,"east_asian"
"23",5,"33",100,"eng_mono"
"24",5,"34",112,"south_asian"
"25",5,"35",100,"eng_mono"
"26",7,"36",100,"eng_mono"
"27",7,"37",113,"se_asian"
"28",5,"38",101,"non_asian_multi"
"29",6,"4",111,"east_asian"
"30",7,"41",100,"eng_mono"
"31",7,"44",100,"eng_mono"
"32",6,"45",101,"non_asian_multi"
"33",7,"46",100,"eng_mono"
"34",5,"48",100,"eng_mono"
"35",5,"49",100,"eng_mono"
"36",3,"50",101,"non_asian_multi"
"37",5,"51",100,"eng_mono"
"38",10,"52",100,"eng_mono"
"39",6,"53",112,"south_asian"
"40",4,"55",100,"eng_mono"
"41",7,"56",100,"eng_mono"
"42",8,"59",100,"eng_mono"
"43",9,"6",111,"east_asian"
"44",5,"78",100,"eng_mono"
"45",5,"87",112,"south_asian"
"46",6,"90",100,"eng_mono"
"47",7,"91",101,"non_asian_multi"
"48",4,"96",100,"eng_mono"
"49",7,"111",111,"east_asian"
"50",8,"115",101,"non_asian_multi"
"51",6,"121",101,"non_asian_multi"
"52",5,"123",100,"eng_mono"
"53",5,"125",100,"eng_mono"
"54",6,"129",111,"east_asian"
"55",6,"132",101,"non_asian_multi"
"56",5,"133",100,"eng_mono"
"57",7,"135",100,"eng_mono"
"58",4,"148",111,"east_asian"
"59",6,"151",100,"eng_mono"
"60",7,"152",100,"eng_mono"
"61",6,"155",111,"east_asian"
"62",6,"156",112,"south_asian"
"63",4,"157",101,"non_asian_multi"
"64",3,"158",101,"non_asian_multi"
"65",5,"159",111,"east_asian"
"66",8,"161",111,"east_asian"
"67",3,"162",111,"east_asian"
"68",4,"163",101,"non_asian_multi"
"69",4,"164",112,"south_asian"
"70",4,"165",101,"non_asian_multi"
"71",5,"167",101,"non_asian_multi"
"72",7,"169",111,"east_asian"
"73",9,"501",101,"non_asian_multi"
"74",5,"502",111,"east_asian"
"75",10,"503",100,"eng_mono"
"76",3,"504",100,"eng_mono"
"77",5,"505",100,"eng_mono"
"78",5,"506",100,"eng_mono"
"79",6,"507",100,"eng_mono"
"80",9,"508",100,"eng_mono"
"81",6,"509",100,"eng_mono"
"82",4,"510",112,"south_asian"
"83",3,"512",100,"eng_mono"
"84",7,"513",112,"south_asian"
"85",4,"514",112,"south_asian"
"86",6,"515",100,"eng_mono"
"87",11,"516",111,"east_asian"
"88",3,"517",100,"eng_mono"
"89",4,"518",100,"eng_mono"
"90",4,"519",101,"non_asian_multi"
"91",6,"520",100,"eng_mono"
"92",6,"521",101,"non_asian_multi"
"93",8,"522",101,"non_asian_multi"
"94",7,"525",112,"south_asian"
"95",5,"526",100,"eng_mono"
"96",5,"528",113,"se_asian"
"97",6,"601",101,"non_asian_multi"
"98",7,"605",101,"non_asian_multi"
"99",8,"608",101,"non_asian_multi"
"100",5,"611",101,"non_asian_multi"
"101",3,"612",101,"non_asian_multi"
"102",6,"613",101,"non_asian_multi"
"103",3,"614",101,"non_asian_multi"
"104",6,"615",101,"non_asian_multi"
"105",9,"616",101,"non_asian_multi"
"106",5,"618",101,"non_asian_multi"
"107",7,"619",101,"non_asian_multi"
"108",6,"620",101,"non_asian_multi"
"109",3,"621",101,"non_asian_multi"
"110",4,"622",101,"non_asian_multi"
"111",6,"623",112,"south_asian"
"112",4,"627",112,"south_asian"
"113",3,"628",112,"south_asian"
"114",5,"631",112,"south_asian"
"115",7,"633",112,"south_asian"
"116",3,"634",112,"south_asian"
"117",9,"635",112,"south_asian"
"118",6,"636",112,"south_asian"
"119",5,"637",112,"south_asian"
"120",3,"641",112,"south_asian"
"121",4,"643",113,"se_asian"
"122",4,"646",113,"se_asian"
"123",5,"647",113,"se_asian"
"124",4,"651",113,"se_asian"
"125",6,"652",113,"se_asian"
"126",5,"657",113,"se_asian"
"127",4,"662",113,"se_asian"
"128",11,"664",113,"se_asian"
"129",6,"665",113,"se_asian"
"130",5,"667",113,"se_asian"
"131",7,"668",111,"east_asian"
"132",4,"671",111,"east_asian"
"133",5,"676",111,"east_asian"
"134",7,"677",111,"east_asian"
"135",5,"678",111,"east_asian"
"136",6,"679",111,"east_asian"
"137",5,"680",111,"east_asian"
"138",5,"681",111,"east_asian"
"139",6,"682",111,"east_asian"
"140",9,"683",113,"se_asian"
"141",5,"684",113,"se_asian"
"142",3,"685",113,"se_asian"
"143",6,"686",113,"se_asian"
"144",4,"687",113,"se_asian"
"145",6,"689",113,"se_asian"
"146",9,"690",113,"se_asian"
"147",11,"691",113,"se_asian"
"148",3,"692",113,"se_asian"
"149",6,"693",113,"se_asian"
"150",5,"694",113,"se_asian"
"151",3,"695",113,"se_asian"
"152",5,"697",113,"se_asian"
"153",5,"698",101,"non_asian_multi"
"154",7,"700",101,"non_asian_multi"
"155",12,"701",101,"non_asian_multi"
"156",7,"702",101,"non_asian_multi"
"157",7,"704",101,"non_asian_multi"
"158",9,"707",101,"non_asian_multi"
"159",3,"708",101,"non_asian_multi"
"160",6,"710",101,"non_asian_multi"
"161",7,"711",101,"non_asian_multi"
"162",4,"714",101,"non_asian_multi"
"163",8,"715",101,"non_asian_multi"
"164",7,"716",101,"non_asian_multi"
