"","no_categories","Participant","Code","group_name"
"1",11,"8",100,"eng_mono"
"2",6,"7",112,"south_asian"
"3",6,"1",101,"non_asian_multi"
"4",13,"9",100,"eng_mono"
"5",7,"10",100,"eng_mono"
"6",15,"11",100,"eng_mono"
"7",4,"12",101,"non_asian_multi"
"8",10,"13",100,"eng_mono"
"9",12,"14",100,"eng_mono"
"10",12,"15",100,"eng_mono"
"11",7,"16",100,"eng_mono"
"12",9,"18",101,"non_asian_multi"
"13",4,"19",100,"eng_mono"
"14",9,"2",101,"non_asian_multi"
"15",8,"23",101,"non_asian_multi"
"16",7,"25",100,"eng_mono"
"17",6,"26",111,"east_asian"
"18",8,"27",111,"east_asian"
"19",12,"29",100,"eng_mono"
"20",7,"30",112,"south_asian"
"21",8,"31",100,"eng_mono"
"22",13,"32",111,"east_asian"
"23",9,"33",100,"eng_mono"
"24",10,"34",112,"south_asian"
"25",10,"35",100,"eng_mono"
"26",11,"36",100,"eng_mono"
"27",10,"37",113,"se_asian"
"28",9,"38",101,"non_asian_multi"
"29",8,"4",111,"east_asian"
"30",10,"41",100,"eng_mono"
"31",13,"44",100,"eng_mono"
"32",8,"45",101,"non_asian_multi"
"33",11,"46",100,"eng_mono"
"34",9,"48",100,"eng_mono"
"35",9,"49",100,"eng_mono"
"36",4,"50",101,"non_asian_multi"
"37",10,"51",100,"eng_mono"
"38",15,"52",100,"eng_mono"
"39",8,"53",112,"south_asian"
"40",9,"55",100,"eng_mono"
"41",12,"56",100,"eng_mono"
"42",12,"59",100,"eng_mono"
"43",13,"6",111,"east_asian"
"44",9,"78",100,"eng_mono"
"45",11,"87",112,"south_asian"
"46",10,"90",100,"eng_mono"
"47",11,"91",101,"non_asian_multi"
"48",7,"96",100,"eng_mono"
"49",9,"111",111,"east_asian"
"50",12,"115",101,"non_asian_multi"
"51",10,"121",101,"non_asian_multi"
"52",10,"123",100,"eng_mono"
"53",10,"125",100,"eng_mono"
"54",9,"129",111,"east_asian"
"55",10,"132",101,"non_asian_multi"
"56",7,"133",100,"eng_mono"
"57",10,"135",100,"eng_mono"
"58",6,"148",111,"east_asian"
"59",11,"151",100,"eng_mono"
"60",13,"152",100,"eng_mono"
"61",11,"155",111,"east_asian"
"62",11,"156",112,"south_asian"
"63",7,"157",101,"non_asian_multi"
"64",5,"158",101,"non_asian_multi"
"65",8,"159",111,"east_asian"
"66",14,"161",111,"east_asian"
"67",7,"162",111,"east_asian"
"68",7,"163",101,"non_asian_multi"
"69",6,"164",112,"south_asian"
"70",8,"165",101,"non_asian_multi"
"71",7,"167",101,"non_asian_multi"
"72",11,"169",111,"east_asian"
"73",12,"501",101,"non_asian_multi"
"74",6,"502",111,"east_asian"
"75",15,"503",100,"eng_mono"
"76",5,"504",100,"eng_mono"
"77",8,"505",100,"eng_mono"
"78",10,"506",100,"eng_mono"
"79",7,"507",100,"eng_mono"
"80",12,"508",100,"eng_mono"
"81",9,"509",100,"eng_mono"
"82",6,"510",112,"south_asian"
"83",6,"512",100,"eng_mono"
"84",12,"513",112,"south_asian"
"85",6,"514",112,"south_asian"
"86",11,"515",100,"eng_mono"
"87",14,"516",111,"east_asian"
"88",7,"517",100,"eng_mono"
"89",7,"518",100,"eng_mono"
"90",7,"519",101,"non_asian_multi"
"91",10,"520",100,"eng_mono"
"92",9,"521",101,"non_asian_multi"
"93",10,"522",101,"non_asian_multi"
"94",10,"525",112,"south_asian"
"95",9,"526",100,"eng_mono"
"96",9,"528",113,"se_asian"
"97",9,"601",101,"non_asian_multi"
"98",9,"605",101,"non_asian_multi"
"99",12,"608",101,"non_asian_multi"
"100",6,"611",101,"non_asian_multi"
"101",5,"612",101,"non_asian_multi"
"102",7,"613",101,"non_asian_multi"
"103",8,"614",101,"non_asian_multi"
"104",8,"615",101,"non_asian_multi"
"105",9,"616",101,"non_asian_multi"
"106",7,"618",101,"non_asian_multi"
"107",10,"619",101,"non_asian_multi"
"108",6,"620",101,"non_asian_multi"
"109",5,"621",101,"non_asian_multi"
"110",5,"622",101,"non_asian_multi"
"111",8,"623",112,"south_asian"
"112",7,"627",112,"south_asian"
"113",6,"628",112,"south_asian"
"114",8,"631",112,"south_asian"
"115",13,"633",112,"south_asian"
"116",6,"634",112,"south_asian"
"117",11,"635",112,"south_asian"
"118",10,"636",112,"south_asian"
"119",9,"637",112,"south_asian"
"120",5,"641",112,"south_asian"
"121",4,"643",113,"se_asian"
"122",9,"646",113,"se_asian"
"123",8,"647",113,"se_asian"
"124",5,"651",113,"se_asian"
"125",14,"652",113,"se_asian"
"126",8,"657",113,"se_asian"
"127",7,"662",113,"se_asian"
"128",15,"664",113,"se_asian"
"129",9,"665",113,"se_asian"
"130",9,"667",113,"se_asian"
"131",8,"668",111,"east_asian"
"132",8,"671",111,"east_asian"
"133",8,"676",111,"east_asian"
"134",7,"677",111,"east_asian"
"135",10,"678",111,"east_asian"
"136",10,"679",111,"east_asian"
"137",10,"680",111,"east_asian"
"138",9,"681",111,"east_asian"
"139",8,"682",111,"east_asian"
"140",15,"683",113,"se_asian"
"141",8,"684",113,"se_asian"
"142",5,"685",113,"se_asian"
"143",6,"686",113,"se_asian"
"144",5,"687",113,"se_asian"
"145",8,"689",113,"se_asian"
"146",13,"690",113,"se_asian"
"147",15,"691",113,"se_asian"
"148",7,"692",113,"se_asian"
"149",9,"693",113,"se_asian"
"150",8,"694",113,"se_asian"
"151",4,"695",113,"se_asian"
"152",11,"697",113,"se_asian"
"153",7,"698",101,"non_asian_multi"
"154",9,"700",101,"non_asian_multi"
"155",15,"701",101,"non_asian_multi"
"156",7,"702",101,"non_asian_multi"
"157",9,"704",101,"non_asian_multi"
"158",10,"707",101,"non_asian_multi"
"159",3,"708",101,"non_asian_multi"
"160",8,"710",101,"non_asian_multi"
"161",11,"711",101,"non_asian_multi"
"162",5,"714",101,"non_asian_multi"
"163",9,"715",101,"non_asian_multi"
"164",7,"716",101,"non_asian_multi"
