speaker,37,528,529,643,644,646,647,651,652,657,662,664,665,667,683,684,685,686,687,689,690,691,692,693,694,695,697
bengali_9,1,1,1,3,1,9,4,5,13,8,7,1,5,9,1,1,2,1,2,1,1,4,7,5,4,1,1
bengali_13,7,1,1,4,1,9,5,5,13,8,7,1,4,9,7,3,2,2,2,6,4,3,5,6,5,3,3
bengali_16,4,1,1,2,3,9,5,3,13,8,7,11,5,9,1,3,2,1,2,2,1,10,7,7,6,1,3
gujarati_5,3,1,1,1,1,9,4,1,13,8,7,8,5,9,6,2,2,2,1,6,1,13,7,7,5,3,1
gujarati_13,1,1,1,4,1,9,4,5,13,8,7,8,5,9,1,1,2,1,1,4,1,13,7,7,5,3,1
gujarati_14,5,1,1,2,3,9,6,5,9,8,7,9,5,9,3,3,2,4,1,4,8,9,7,7,4,3,3
urdu_2,4,2,1,4,2,9,5,4,8,8,7,8,5,9,6,2,2,3,1,2,6,1,7,6,4,1,1
urdu_15,6,1,1,4,2,9,4,5,13,8,7,9,5,9,3,2,2,5,1,2,11,12,7,7,4,1,1
urdu_27,4,2,1,2,4,9,6,4,13,8,7,12,5,9,7,4,2,3,1,2,4,10,7,7,5,3,4
indonesian_1,5,3,2,1,2,4,5,3,9,7,6,12,6,1,8,4,3,5,3,3,7,6,6,4,4,3,2
indonesian_8,5,2,2,4,4,8,6,3,10,5,6,3,7,1,3,1,3,6,3,3,8,15,6,8,8,3,2
indonesian_10,4,1,2,2,4,8,7,3,9,8,4,12,7,6,6,2,3,3,1,4,6,9,5,6,8,3,4
tagalog_6,5,3,0,2,4,8,6,4,10,7,6,13,7,1,8,3,3,6,4,2,7,6,6,6,8,3,2
tagalog_9,6,3,2,2,4,8,6,4,10,7,6,13,7,1,8,3,3,5,1,3,7,15,6,7,8,3,2
tagalog_18,7,3,1,3,4,8,6,4,10,7,6,13,7,9,7,3,3,6,2,6,6,4,5,6,7,2,2
thai_2,6,4,3,3,3,5,7,3,11,6,5,7,6,7,9,5,4,1,2,7,2,15,6,8,5,2,4
thai_6,6,4,3,3,3,5,7,3,11,6,5,11,6,7,9,5,4,6,4,7,2,14,6,8,6,2,4
thai_7,8,4,0,3,0,4,7,3,11,6,5,2,6,7,5,5,4,6,4,7,4,3,5,8,6,2,5
japanese_11,7,9,3,3,3,5,8,3,11,5,5,14,8,8,5,5,4,6,4,1,3,2,5,9,6,2,5
japanese_12,6,9,1,4,3,4,7,3,13,5,4,10,8,8,4,5,4,6,4,6,5,14,6,8,5,1,5
japanese_26,8,9,3,3,3,4,8,3,12,5,5,11,8,8,4,5,4,6,4,6,3,2,5,9,6,2,5
korean_2,8,9,3,3,3,5,8,3,11,6,7,10,9,6,2,5,4,6,4,7,2,2,5,5,6,2,5
korean_24,5,9,3,4,3,5,8,3,12,6,5,14,9,6,4,5,4,1,2,6,5,14,6,9,5,1,5
korean_30,8,9,3,3,3,5,8,3,12,5,5,14,9,7,5,5,4,6,4,7,3,3,5,9,6,2,5
mandarin_14,1,9,3,4,3,4,8,3,11,4,4,10,4,7,9,5,4,6,4,6,5,1,6,6,7,1,4
mandarin_53,7,9,3,2,3,4,4,3,8,4,4,9,4,8,2,5,4,3,4,1,3,13,5,8,6,2,4
mandarin_63,1,9,3,4,3,4,5,3,11,4,4,2,4,6,2,5,4,6,4,2,2,1,6,8,7,1,4
english_21,9,6,0,1,5,7,3,2,4,3,2,6,3,5,13,2,5,3,5,8,12,5,4,4,2,3,6
english_89,9,7,2,1,5,7,2,2,3,3,2,4,3,5,14,7,5,3,3,3,13,7,3,2,3,4,6
english_103,2,7,2,1,5,3,1,2,14,3,2,4,3,5,14,6,5,5,5,8,9,8,3,3,2,4,6
english_428,10,5,5,2,5,6,3,2,7,3,3,7,2,5,15,8,1,5,4,5,8,4,4,8,3,4,7
english_212,9,5,2,1,5,1,2,2,14,3,2,6,2,5,10,8,5,5,5,3,9,7,3,4,2,4,8
english_357,10,5,5,2,5,6,3,2,7,3,3,4,2,5,15,8,5,5,5,3,9,9,3,4,3,4,8
english_288,9,6,2,1,5,1,2,2,4,3,2,4,3,5,10,7,5,5,5,3,12,8,4,3,3,4,8
english_171,9,6,2,1,5,1,2,2,14,3,2,6,2,5,14,8,5,5,5,8,9,7,3,3,2,4,7
english_126,10,6,5,1,5,1,3,2,7,3,3,6,2,5,10,8,5,5,5,8,9,11,4,3,2,4,7
english_3,9,8,2,1,6,3,1,1,6,1,1,5,1,2,11,7,1,5,5,8,10,6,1,4,1,4,9
english_73,2,7,4,1,6,3,1,1,5,2,1,5,3,3,15,6,1,4,5,8,10,12,2,2,1,4,9
english_153,2,7,4,1,7,3,1,1,7,2,1,5,3,3,11,7,1,4,5,3,12,5,2,1,1,4,9
english_2,3,8,0,1,6,3,2,1,6,1,1,15,1,3,13,6,1,4,5,8,13,5,1,1,1,4,10
english_38,2,8,0,1,6,2,1,1,1,1,1,15,1,4,12,7,1,4,5,8,13,12,2,1,1,4,10
english_460,3,8,0,1,6,2,3,1,1,1,1,15,1,4,13,7,1,4,5,8,12,8,1,1,1,4,10
africaans_2,2,8,4,1,7,2,1,1,1,1,1,15,1,4,12,7,1,4,5,5,10,10,2,1,1,4,11
africaans _5,2,8,4,1,6,2,1,1,1,1,1,15,1,4,11,7,1,4,5,8,11,11,2,2,1,4,11
africaans _42,5,8,4,2,7,2,4,1,2,2,1,3,1,2,12,6,1,4,5,5,11,11,2,5,4,4,11
